Model,MAE,MSE,RMSE,R2,Adjusted R2
Gradient Boosting,53695.52,11235098955.0,105995.75,0.8751,0.8717
Stacking Ensemble,51627.23,11386987358.21,106709.83,0.8734,0.8699
Ridge Regression,52955.27,11929742096.31,109223.36,0.8674,0.8637
Linear Regression,52921.08,11948237414.74,109307.99,0.8672,0.8635
Random Forest,59357.0,12753137966.08,112929.79,0.8582,0.8543
SVR,62157.37,13024194434.79,114123.59,0.8552,0.8512
XGBoost,61635.35,13673199328.85,116932.46,0.848,0.8438
Decision Tree,83164.43,23959361658.24,154788.12,0.7336,0.7263
KNN Regressor,141469.25,41640494637.21,204060.03,0.537,0.5243
